epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,26.1265,1.21403,0.84764,1.45306,0.72404,0.9161,0.77386,0.65416,0.31935,0.62703,0.15105,0.000550917,0.000550917,0.000550917
2,49.7549,0.33858,0.60368,0.18779,0.66145,0.91496,0.79933,0.65621,0.2434,0.6169,0.14602,0.00105181,0.00105181,0.00105181
3,74.1903,0.31969,0.5612,0.1878,0.69363,0.92949,0.78287,0.61616,0.26501,0.61603,0.18515,0.00149769,0.00149769,0.00149769
4,98.8012,0.30227,0.5582,0.18235,0.67944,0.89752,0.79832,0.6504,0.2593,0.6529,0.15085,0.00141945,0.00141945,0.00141945
5,123.074,0.28969,0.54889,0.17058,0.74512,0.89498,0.83744,0.70552,0.2094,0.58209,0.1322,0.00133693,0.00133693,0.00133693
6,149.208,0.28113,0.54593,0.1596,0.69232,0.89678,0.77936,0.63893,nan,nan,nan,0.00125442,0.00125442,0.00125442
7,173.822,0.2748,0.54147,0.15753,0.69582,0.88101,0.81107,0.67432,0.22986,0.60441,0.14686,0.0011719,0.0011719,0.0011719
8,198.939,0.28592,0.53288,0.15817,0.71094,0.96512,0.80653,0.68007,0.22593,0.56653,0.13035,0.00108938,0.00108938,0.00108938
9,224.122,0.26133,0.51009,0.14777,0.69693,0.97674,0.79967,0.68913,0.2114,0.56274,0.12208,0.00100687,0.00100687,0.00100687
10,248.421,0.25459,0.47032,0.13556,0.68588,0.97019,0.81178,0.69489,0.22258,0.57362,0.13634,0.000924352,0.000924352,0.000924352
11,273.795,0.23257,0.47553,0.12581,0.718,0.96576,0.8109,0.69793,0.2006,0.58609,0.12104,0.000841835,0.000841835,0.000841835
12,297.811,0.23563,0.44866,0.12827,0.75155,0.8917,0.81189,0.69578,0.22017,0.55839,0.12973,0.000759318,0.000759318,0.000759318
13,321.784,0.23586,0.42748,0.13011,0.79439,0.86263,0.82217,0.70331,0.23513,0.68681,0.12522,0.000676802,0.000676802,0.000676802
14,345.783,0.23041,0.40317,0.12384,0.74964,0.93858,0.78276,0.67742,0.19731,0.59383,0.1146,0.000594286,0.000594286,0.000594286
15,369.716,0.21394,0.39633,0.11772,0.7443,0.89207,0.79037,0.69042,0.20533,0.67208,0.11634,0.000511769,0.000511769,0.000511769
16,394.341,0.20097,0.38364,0.11678,0.74401,0.92114,0.79053,0.66571,0.22272,0.6131,0.13693,0.000429253,0.000429253,0.000429253
17,418.573,0.20323,0.36387,0.11272,0.73307,0.88688,0.80074,0.68483,0.20052,0.78861,0.11655,0.000346736,0.000346736,0.000346736
18,442.177,0.19916,0.34263,0.10873,0.73393,0.9037,0.80091,0.68896,0.20267,0.67057,0.12224,0.00026422,0.00026422,0.00026422
19,466.179,0.18863,0.31682,0.10146,0.7231,0.91823,0.77309,0.67059,0.22029,0.75722,0.12352,0.000181703,0.000181703,0.000181703
20,490.676,0.18558,0.31469,0.10256,0.74606,0.91533,0.796,0.68888,0.23126,0.70616,0.14323,9.91865e-05,9.91865e-05,9.91865e-05
