epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.656,1.39759,1.85625,1.64526,0.0034,0.34831,0.00239,0.00095,2.43727,inf,4.76621,0.000550917,0.000550917,0.000550917
2,157.666,1.39962,1.95565,1.63947,0.3753,0.54871,0.31093,0.18182,1.55458,3.21507,2.01846,0.00105181,0.00105181,0.00105181
3,176.414,1.38323,1.63205,1.65364,0.23337,0.65365,0.38912,0.18433,1.69003,2.16245,2.46042,0.00149769,0.00149769,0.00149769
4,195.213,1.35451,1.4766,1.63282,0.30592,0.89715,0.59204,0.34812,1.41954,1.90118,1.68755,0.00141945,0.00141945,0.00141945
5,216.022,1.33306,1.60872,1.58223,0.66128,0.80086,0.69391,0.39372,1.48157,1.5662,1.66213,0.00133693,0.00133693,0.00133693
6,234.829,1.27195,1.27104,1.52854,0.65589,0.80227,0.705,0.422,1.27272,1.42558,1.46562,0.00125442,0.00125442,0.00125442
7,256.091,1.17899,1.07636,1.45291,0.59325,0.85026,0.74341,0.4938,1.12742,1.2354,1.32605,0.0011719,0.0011719,0.0011719
8,276.996,1.1475,1.13872,1.40243,0.62937,0.83272,0.70561,0.46887,1.10774,1.34465,1.33121,0.00108938,0.00108938,0.00108938
9,296.223,1.09277,0.97371,1.37809,0.71068,0.86174,0.73897,0.50375,1.08338,1.16145,1.33525,0.00100687,0.00100687,0.00100687
10,319.032,1.11188,0.95227,1.36759,0.67999,0.88744,0.7509,0.52807,0.98092,1.24328,1.2387,0.000924352,0.000924352,0.000924352
11,344.362,1.08623,1.04442,1.35045,0.75143,0.87389,0.76556,0.56696,0.96882,1.12089,1.21023,0.000841835,0.000841835,0.000841835
12,437.547,1.03125,0.95904,1.30392,0.73295,0.90803,0.74918,0.49688,1.0088,1.27825,1.22412,0.000759318,0.000759318,0.000759318
13,455.275,1.0211,0.91471,1.28219,0.74262,0.87643,0.75712,0.5161,1.01314,1.0661,1.22869,0.000676802,0.000676802,0.000676802
14,473.005,0.95842,0.80059,1.23112,0.74276,0.89007,0.76499,0.55078,0.90737,1.074,1.16227,0.000594286,0.000594286,0.000594286
15,490.725,0.93728,0.81235,1.21593,0.71352,0.87194,0.74725,0.55284,0.97857,1.11459,1.19974,0.000511769,0.000511769,0.000511769
16,508.672,0.90934,0.7806,1.20207,0.72581,0.85936,0.74787,0.51667,1.01084,1.12857,1.21572,0.000429253,0.000429253,0.000429253
17,526.39,0.88716,0.7801,1.18758,0.67398,0.88007,0.78149,0.60751,0.86346,1.02027,1.14458,0.000346736,0.000346736,0.000346736
18,544.534,0.85056,0.75682,1.15449,0.74295,0.89461,0.78155,0.59616,0.91785,0.97942,1.17341,0.00026422,0.00026422,0.00026422
19,562.298,0.81506,0.66857,1.1312,0.77374,0.89166,0.76371,0.60339,0.85049,1.02227,1.13676,0.000181703,0.000181703,0.000181703
20,580.041,0.78132,0.68073,1.10989,0.71986,0.86955,0.74452,0.59238,0.8321,1.02987,1.13142,9.91865e-05,9.91865e-05,9.91865e-05
